Column,title,date_created,keywords,media_type,description,nasa_id,links
28,A Summer ABoVE the Warming Arctic,2017-12-12,Carbon Release,video,"Scientists with NASA's Arctic Boreal Vulnerability Experiment - ABoVE - are studying how the Arctic region responds to climate change. Looking at everything from thawing permafrost underground to wildfires, the researchers are working to create a comprehensive picture of the warming Arctic.  This summer, the team brought a fleet of planes to fly over Alaska and Canada and gather data to complement measurements taken from the ground. The ABoVE campaign is designed to last for ten years.",GSFC_20171212_ABoVE_m12794_Arctic,https://images-assets.nasa.gov/video/GSFC_20171212_ABoVE_m12794_Arctic/GSFC_20171212_ABoVE_m12794_Arctic~large.jpg
,A Summer ABoVE the Warming Arctic,2017-12-12,Carbon Sink,,,,
,A Summer ABoVE the Warming Arctic,2017-12-12,Climate,,,,
,A Summer ABoVE the Warming Arctic,2017-12-12,Climate Indicators,,,,
,A Summer ABoVE the Warming Arctic,2017-12-12,Organic Matter,,,,
,A Summer ABoVE the Warming Arctic,2017-12-12,Permafrost,,,,
,A Summer ABoVE the Warming Arctic,2017-12-12,Arctic,,,,
,A Summer ABoVE the Warming Arctic,2017-12-12,Climate Change,,,,
,A Summer ABoVE the Warming Arctic,2017-12-12,Earth,,,,
,A Summer ABoVE the Warming Arctic,2017-12-12,Wildfires,,,,
29,Record-Breaking Climate Trends 2016 – Rising Temperatures and Shrinking Sea Ice,2016-07-19,Sea Ice,video,"Two key climate change indicators have broken numerous records through the first half of 2016, according to NASA analyses of ground-based observations and satellite data. Each of the first six months of 2016 set a record as the warmest respective month globally in the modern temperature record, which dates to 1880. Meanwhile, five of the first six months set records for the smallest monthly Arctic sea ice extent since consistent satellite records began in 1979. NASA researchers are in the field this summer, collecting data to better understand our changing climate.  While these two key climate indicators have broken records of late, NASA scientists said it is more significant that global temperature and Arctic sea ice are continuing their decades-long trends of change. Both trends are ultimately driven by rising atmospheric concentrations of heat-trapping carbon dioxide and greenhouse gases as a result of fossil fuel burning and deforestation. These rising concentrations directly cause warming of the atmosphere and ocean, which in turn induce sea ice melt.  NASA tracks temperature and sea ice as part of its effort to understand the Earth as a system and to understand how Earth is changing. In addition to maintaining a fleet of 20 Earth-observing satellite missions, NASA also sends researchers around the globe to investigate different facets of the planet at closer range. Right now, NASA researchers are working across the Arctic to better understand both the processes driving increased sea ice melt and the impacts of rising temperatures on Arctic ecosystems.",GSFC_20160719_SeaIce_m12306_Climate,https://images-assets.nasa.gov/video/GSFC_20160719_SeaIce_m12306_Climate/GSFC_20160719_SeaIce_m12306_Climate~large.jpg
,Record-Breaking Climate Trends 2016 – Rising Temperatures and Shrinking Sea Ice,2016-07-19,Temperature,,,,
,Record-Breaking Climate Trends 2016 – Rising Temperatures and Shrinking Sea Ice,2016-07-19,Temperature Trend,,,,
,Record-Breaking Climate Trends 2016 – Rising Temperatures and Shrinking Sea Ice,2016-07-19,Climate Indicators,,,,
,Record-Breaking Climate Trends 2016 – Rising Temperatures and Shrinking Sea Ice,2016-07-19,Climate Change,,,,
,Record-Breaking Climate Trends 2016 – Rising Temperatures and Shrinking Sea Ice,2016-07-19,Earth,,,,
30,NASA Science Live: Climate Edition - Extreme Weather [Episode 57],2024-08-21,climate,video,"As Earth’s climate changes, we’re seeing shifts in the intensity of events such as record-breaking heat waves, severe floods, prolonged droughts, devastating wildfires and stronger hurricanes. Join NASA’s Chief Scientist Dr. Kate Calvin and climate expert Dr. Michelle Hawkins on Wednesday, August 21 at 3:00 p.m. ET on NASA Science Live as they discuss the science behind these changes. Have questions? Use #askNASA.----- Tahira Allen, NASA Communications Dr. Kate Calvin, NASA Chief Scientist and Senior Climate Advisor  Dr. Michelle Hawkins, Program Manager, NASA Climate Resilience and Community Action",GSFC_NSL_ExtremeWeather_Ep57,https://images-assets.nasa.gov/video/GSFC_NSL_ExtremeWeather_Ep57/GSFC_NSL_ExtremeWeather_Ep57~large.jpg
,NASA Science Live: Climate Edition - Extreme Weather [Episode 57],2024-08-21,earth,,,,
,NASA Science Live: Climate Edition - Extreme Weather [Episode 57],2024-08-21,taira allen,,,,
,NASA Science Live: Climate Edition - Extreme Weather [Episode 57],2024-08-21,kate calvin,,,,
,NASA Science Live: Climate Edition - Extreme Weather [Episode 57],2024-08-21,michelle hawkins,,,,
,NASA Science Live: Climate Edition - Extreme Weather [Episode 57],2024-08-21,climate change,,,,
,NASA Science Live: Climate Edition - Extreme Weather [Episode 57],2024-08-21,extreme weather,,,,
,NASA Science Live: Climate Edition - Extreme Weather [Episode 57],2024-08-21,NSL,,,,
,NASA Science Live: Climate Edition - Extreme Weather [Episode 57],2024-08-21,NASA Science Live,,,,
31,Ask A Climate Scientist - Lagging CO2,2013-09-24,Climate Change,video,"Is there any merit to the studies that show that historical CO2 levels lag behind temperature, and not lead them? Climate scientist Peter Hildebrand, Director of the Earth Science Division at NASA's Goddard Space Flight Center, says yes, there's merit to those studies. In the pre-industrial age, the CO2 response to temperature was that the temperature would go up and CO2 would go up. Or if the temperature went down, CO2 would go down. And the reason for that is when the temperature went up, the whole biosphere revved up and emitted CO2, and we had more CO2 in the atmosphere. So we understand that process.  In the post-industrial age, the opposite is true. Increasing CO2 in the atmosphere is leading to increased temperature. So two different things happened, one pre-industrial, where temperature was driving the CO2, and post-industrial, where CO2 was driving temperature. Which means a completely different physical-biological process is going on. And we don't understand what the consequence of that change is.  It is a fundamental change to how the earth works and the earth's radiation balance works. And so, we're very concerned because we don't see any restraining force on continued increase in temperature due to continued increase in CO2. And that's a problem.",GSFC_20130924_AACS_m11362_CO2Lag,https://images-assets.nasa.gov/video/GSFC_20130924_AACS_m11362_CO2Lag/GSFC_20130924_AACS_m11362_CO2Lag~large.jpg
,Ask A Climate Scientist - Lagging CO2,2013-09-24,Earth,,,,
32,NASA Science Live: The Summer of Record-Breaking Heat [Episode 48],2023-08-14,NSL,video,"This summer, Earth has experienced some of the hottest temperatures on record and July is shaping up to follow this record-breaking trend. Join NASA climate experts Monday, August 14 at 3:30pm ET as they discuss impacts of climate change. Submit your questions using #askNASA.",20230814_NSL_Climate_Ep48,https://images-assets.nasa.gov/video/20230814_NSL_Climate_Ep48/20230814_NSL_Climate_Ep48~large.jpg
,NASA Science Live: The Summer of Record-Breaking Heat [Episode 48],2023-08-14,NASA Science Live,,,,
,NASA Science Live: The Summer of Record-Breaking Heat [Episode 48],2023-08-14,Climate,,,,
,NASA Science Live: The Summer of Record-Breaking Heat [Episode 48],2023-08-14,Climate Change,,,,
,NASA Science Live: The Summer of Record-Breaking Heat [Episode 48],2023-08-14,Megan Cruz,,,,
,NASA Science Live: The Summer of Record-Breaking Heat [Episode 48],2023-08-14,Gavin Schidt,,,,
,NASA Science Live: The Summer of Record-Breaking Heat [Episode 48],2023-08-14,Kate Calvin,,,,
,NASA Science Live: The Summer of Record-Breaking Heat [Episode 48],2023-08-14,Global Temperatures,,,,
33,NASA Tracks the Future of Asia's Glaciers,2019-06-26,Himalaya,video,"Asia’s high mountains are a crucial freshwater source to one-seventh of the world’s population. Snow and glaciers in these mountains contain the largest volume of freshwater outside of Earth's polar ice sheets, leading hydrologists to nickname this region the Third Pole.   Rapid changes in the region's climate are affecting glacier flows and snowmelt. Local people are already modifying their land-use practices in response to the changing supply, and the region's ecology is transforming. Scientists estimate that by 2100, these glaciers could be up to 75% smaller in volume.   NASA's satellites observe and measure snow and ice cover remotely with multiple types of sensors. This allows scientists to create an authoritative estimate of the water budget of this region and a set of products local policy makers can use in responding to hazards and planning for a changing water supply.",GSFC_20190626_Glaciers_m13243_Asia,https://images-assets.nasa.gov/video/GSFC_20190626_Glaciers_m13243_Asia/GSFC_20190626_Glaciers_m13243_Asia~large.jpg
,NASA Tracks the Future of Asia's Glaciers,2019-06-26,Watershed,,,,
,NASA Tracks the Future of Asia's Glaciers,2019-06-26,Glacial Landforms,,,,
,NASA Tracks the Future of Asia's Glaciers,2019-06-26,Climate Change,,,,
,NASA Tracks the Future of Asia's Glaciers,2019-06-26,Earth,,,,
,NASA Tracks the Future of Asia's Glaciers,2019-06-26,Floods,,,,
,NASA Tracks the Future of Asia's Glaciers,2019-06-26,Freshwater,,,,
34,Vice President Kamala Harris Visited NASA’s Goddard Space Flight Center - Wrap Package,2021-11-05,Earth Science,video,"The urgency of Earth science and climate studies took the spotlight Friday, Nov. 5, as U.S. Vice President Kamala Harris visited NASA’s Goddard Space Flight Center in Greenbelt, Maryland. Alongside NASA Administrator Bill Nelson, the vice president received a firsthand look at how NASA studies climate change and provides crucial information to understand our planet’s changes and their impacts on our lives.",GSFC_20211105_M14017_VP_Harris,https://images-assets.nasa.gov/video/GSFC_20211105_M14017_VP_Harris/GSFC_20211105_M14017_VP_Harris~large.jpg
,Vice President Kamala Harris Visited NASA’s Goddard Space Flight Center - Wrap Package,2021-11-05,Vice President,,,,
,Vice President Kamala Harris Visited NASA’s Goddard Space Flight Center - Wrap Package,2021-11-05,Kamala Harris,,,,
,Vice President Kamala Harris Visited NASA’s Goddard Space Flight Center - Wrap Package,2021-11-05,NASA Administrator,,,,
,Vice President Kamala Harris Visited NASA’s Goddard Space Flight Center - Wrap Package,2021-11-05,Bill Nelson,,,,
,Vice President Kamala Harris Visited NASA’s Goddard Space Flight Center - Wrap Package,2021-11-05,Goddard Visit,,,,
,Vice President Kamala Harris Visited NASA’s Goddard Space Flight Center - Wrap Package,2021-11-05,Tour,,,,
,Vice President Kamala Harris Visited NASA’s Goddard Space Flight Center - Wrap Package,2021-11-05,climate change,,,,
,Vice President Kamala Harris Visited NASA’s Goddard Space Flight Center - Wrap Package,2021-11-05,climate studies,,,,
,Vice President Kamala Harris Visited NASA’s Goddard Space Flight Center - Wrap Package,2021-11-05,GSFC,,,,
35,NASA ScienceCasts: Station Science 101 - Earth Observation from the Space Station,2024-07-03,ScienceCasts,video,"Stunning images of Earth captured by crew members on the International Space Station are actively supporting life on our planet, helping monitor climate change, and advancing our understanding of Earth’s changing landscapes.",322_SS101-CEO,https://images-assets.nasa.gov/video/322_SS101-CEO/322_SS101-CEO~large.jpg
,NASA ScienceCasts: Station Science 101 - Earth Observation from the Space Station,2024-07-03,ISS,,,,
,NASA ScienceCasts: Station Science 101 - Earth Observation from the Space Station,2024-07-03,International Space Station,,,,
,NASA ScienceCasts: Station Science 101 - Earth Observation from the Space Station,2024-07-03,photography,,,,
,NASA ScienceCasts: Station Science 101 - Earth Observation from the Space Station,2024-07-03,astronaut,,,,
,NASA ScienceCasts: Station Science 101 - Earth Observation from the Space Station,2024-07-03,climate change,,,,
,NASA ScienceCasts: Station Science 101 - Earth Observation from the Space Station,2024-07-03,disaster response,,,,
36,Salt of the Earth,2009-10-12,Physical Oceanography,video,"Salinity plays a major role in how ocean waters circulate around the globe. Salinity changes can create ocean circulation changes that, in turn, may impact regional and global climates. The extent to which salinity impacts our global ocean circulation is still relatively unknown, but NASA's new Aquarius mission will help advance that understanding by painting a global picture of our planet's salty waters.",GSFC_20091012_Aquarius_m10504_Salt,https://images-assets.nasa.gov/video/GSFC_20091012_Aquarius_m10504_Salt/GSFC_20091012_Aquarius_m10504_Salt~large.jpg
,Salt of the Earth,2009-10-12,Oceans,,,,
,Salt of the Earth,2009-10-12,Ocean Circulation,,,,
,Salt of the Earth,2009-10-12,Thermohaline Circulation,,,,
,Salt of the Earth,2009-10-12,Salinity,,,,
,Salt of the Earth,2009-10-12,Aquarius,,,,
,Salt of the Earth,2009-10-12,Climate Change,,,,
,Salt of the Earth,2009-10-12,Earth Science Week,,,,
,Salt of the Earth,2009-10-12,Earth,,,,
37,KSC-2011-2637,2011-03-30,ELV,image,"VANDENBERG AIR FORCE BASE, Calif. -- The Aquarius/SAC-D spacecraft is in the Spaceport Systems International payload processing facility at Vandenberg Air Force Base in California.  Earlier, a U.S. Air Force C-17 transport plane delivered the spacecraft from Campos, Brazil. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.    Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: VAFB/30th Space Wing",KSC-2011-2637,https://images-assets.nasa.gov/image/KSC-2011-2637/KSC-2011-2637~medium.jpg
,KSC-2011-2637,2011-03-30,Delta II,,,,
,KSC-2011-2637,2011-03-30,science,,,,
,KSC-2011-2637,2011-03-30,research,,,,
,KSC-2011-2637,2011-03-30,climate change,,,,
,KSC-2011-2637,2011-03-30,Earth mission,,,,
38,KSC-2011-2724,2011-04-01,ELV,image,"VANDENBERG AIR FORCE BASE, Calif. -- Technicians prepare to unpack and unveil the Aquarius/SAC-D spacecraft in the Spaceport Systems International payload processing facility at Vandenberg Air Force Base in California. The container protected the spacecraft on its journey from Campos, Brazil, aboard a U.S. Air Force C-17 transport plane. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.            Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: NASA/Randy Beaudoin, VAFB",KSC-2011-2724,https://images-assets.nasa.gov/image/KSC-2011-2724/KSC-2011-2724~medium.jpg
,KSC-2011-2724,2011-04-01,Delta II,,,,
,KSC-2011-2724,2011-04-01,science,,,,
,KSC-2011-2724,2011-04-01,research,,,,
,KSC-2011-2724,2011-04-01,climate change,,,,
,KSC-2011-2724,2011-04-01,Earth mission,,,,
39,KSC-2011-2726,2011-04-01,ELV,image,"VANDENBERG AIR FORCE BASE, Calif. -- Technicians unpack and unveil the Aquarius/SAC-D spacecraft in the Spaceport Systems International payload processing facility at Vandenberg Air Force Base in California. The container protected the spacecraft on its journey from Campos, Brazil, aboard a U.S. Air Force C-17 transport plane. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.      Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: NASA/Randy Beaudoin, VAFB",KSC-2011-2726,https://images-assets.nasa.gov/image/KSC-2011-2726/KSC-2011-2726~medium.jpg
,KSC-2011-2726,2011-04-01,Delta II,,,,
,KSC-2011-2726,2011-04-01,science,,,,
,KSC-2011-2726,2011-04-01,research,,,,
,KSC-2011-2726,2011-04-01,climate change,,,,
,KSC-2011-2726,2011-04-01,Earth mission,,,,
40,KSC-2011-2624,2011-03-30,ELV,image,"VANDENBERG AIR FORCE BASE, Calif. -- The Aquarius/SAC-D spacecraft arrives at Vandenberg Air Force Base in California from Campos, Brazil, aboard a U.S. Air Force C-17 transport plane. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.          Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: VAFB/30th Space Wing",KSC-2011-2624,https://images-assets.nasa.gov/image/KSC-2011-2624/KSC-2011-2624~medium.jpg
,KSC-2011-2624,2011-03-30,Delta II,,,,
,KSC-2011-2624,2011-03-30,science,,,,
,KSC-2011-2624,2011-03-30,research,,,,
,KSC-2011-2624,2011-03-30,climate change,,,,
,KSC-2011-2624,2011-03-30,Earth mission,,,,
41,KSC-2011-2638,2011-03-30,ELV,image,"VANDENBERG AIR FORCE BASE, Calif. -- The Aquarius/SAC-D spacecraft is in the Spaceport Systems International payload processing facility at Vandenberg Air Force Base in California.  Earlier, a U.S. Air Force C-17 transport plane delivered the spacecraft from Campos, Brazil. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.    Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: VAFB/30th Space Wing",KSC-2011-2638,https://images-assets.nasa.gov/image/KSC-2011-2638/KSC-2011-2638~medium.jpg
,KSC-2011-2638,2011-03-30,Delta II,,,,
,KSC-2011-2638,2011-03-30,science,,,,
,KSC-2011-2638,2011-03-30,research,,,,
,KSC-2011-2638,2011-03-30,climate change,,,,
,KSC-2011-2638,2011-03-30,Earth mission,,,,
42,KSC-2011-2635,2011-03-30,ELV,image,"VANDENBERG AIR FORCE BASE, Calif. -- The Aquarius/SAC-D spacecraft is transported to the Spaceport Systems International payload processing facility at Vandenberg Air Force Base in California.  Earlier, a U.S. Air Force C-17 transport plane delivered the spacecraft from Campos, Brazil. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.        Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: VAFB/30th Space Wing",KSC-2011-2635,https://images-assets.nasa.gov/image/KSC-2011-2635/KSC-2011-2635~medium.jpg
,KSC-2011-2635,2011-03-30,Delta II,,,,
,KSC-2011-2635,2011-03-30,science,,,,
,KSC-2011-2635,2011-03-30,research,,,,
,KSC-2011-2635,2011-03-30,climate change,,,,
,KSC-2011-2635,2011-03-30,Earth mission,,,,
43,KSC-2011-2626,2011-03-30,ELV,image,"VANDENBERG AIR FORCE BASE, Calif. -- Workers at Vandenberg Air Force Base in California prepare to offload the Aquarius/SAC-D spacecraft from a U.S. Air Force C-17 transport plane. The aircraft traveled from Campos, Brazil. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.      Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: VAFB/30th Space Wing",KSC-2011-2626,https://images-assets.nasa.gov/image/KSC-2011-2626/KSC-2011-2626~medium.jpg
,KSC-2011-2626,2011-03-30,Delta II,,,,
,KSC-2011-2626,2011-03-30,science,,,,
,KSC-2011-2626,2011-03-30,research,,,,
,KSC-2011-2626,2011-03-30,climate change,,,,
,KSC-2011-2626,2011-03-30,Earth mission,,,,
44,KSC-2011-2633,2011-03-30,ELV,image,"VANDENBERG AIR FORCE BASE, Calif. -- The Aquarius/SAC-D spacecraft is transported to the Spaceport Systems International processing facility at Vandenberg Air Force Base in California.  Earlier, a U.S. Air Force C-17 transport plane delivered the spacecraft from Campos, Brazil. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.  Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: VAFB/30th Space Wing",KSC-2011-2633,https://images-assets.nasa.gov/image/KSC-2011-2633/KSC-2011-2633~medium.jpg
,KSC-2011-2633,2011-03-30,Delta II,,,,
,KSC-2011-2633,2011-03-30,science,,,,
,KSC-2011-2633,2011-03-30,research,,,,
,KSC-2011-2633,2011-03-30,climate change,,,,
,KSC-2011-2633,2011-03-30,Earth mission,,,,
45,KSC-2011-2629,2011-03-30,ELV,image,"VANDENBERG AIR FORCE BASE, Calif. -- The Aquarius/SAC-D spacecraft is offloaded from a U.S. Air Force C-17 transport at Vandenberg Air Force Base in California. The aircraft traveled from Campos, Brazil. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.      Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: VAFB/30th Space Wing",KSC-2011-2629,https://images-assets.nasa.gov/image/KSC-2011-2629/KSC-2011-2629~medium.jpg
,KSC-2011-2629,2011-03-30,Delta II,,,,
,KSC-2011-2629,2011-03-30,science,,,,
,KSC-2011-2629,2011-03-30,research,,,,
,KSC-2011-2629,2011-03-30,climate change,,,,
,KSC-2011-2629,2011-03-30,Earth mission,,,,
46,KSC-2011-2728,2011-04-01,ELV,image,"VANDENBERG AIR FORCE BASE, Calif. -- The Aquarius/SAC-D spacecraft is unpacked and unveiled in the Spaceport Systems International payload processing facility at Vandenberg Air Force Base in California. The container protected the spacecraft on its journey from Campos, Brazil, aboard a U.S. Air Force C-17 transport plane. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.      Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: NASA/Randy Beaudoin, VAFB",KSC-2011-2728,https://images-assets.nasa.gov/image/KSC-2011-2728/KSC-2011-2728~medium.jpg
,KSC-2011-2728,2011-04-01,Delta II,,,,
,KSC-2011-2728,2011-04-01,science,,,,
,KSC-2011-2728,2011-04-01,research,,,,
,KSC-2011-2728,2011-04-01,climate change,,,,
,KSC-2011-2728,2011-04-01,Earth mission,,,,
47,KSC-2011-2727,2011-04-01,ELV,image,"VANDENBERG AIR FORCE BASE, Calif. -- The Aquarius/SAC-D spacecraft is unpacked and unveiled in the Spaceport Systems International payload processing facility at Vandenberg Air Force Base in California. The container protected the spacecraft on its journey from Campos, Brazil, aboard a U.S. Air Force C-17 transport plane. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.        Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: NASA/Randy Beaudoin, VAFB",KSC-2011-2727,https://images-assets.nasa.gov/image/KSC-2011-2727/KSC-2011-2727~medium.jpg
,KSC-2011-2727,2011-04-01,Delta II,,,,
,KSC-2011-2727,2011-04-01,science,,,,
,KSC-2011-2727,2011-04-01,research,,,,
,KSC-2011-2727,2011-04-01,climate change,,,,
,KSC-2011-2727,2011-04-01,Earth mission,,,,
48,KSC-2011-2627,2011-03-30,ELV,image,"VANDENBERG AIR FORCE BASE, Calif. -- Workers at Vandenberg Air Force Base in California prepare to offload the Aquarius/SAC-D spacecraft from a U.S. Air Force C-17 transport plane. The aircraft traveled from Campos, Brazil. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.    Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: VAFB/30th Space Wing",KSC-2011-2627,https://images-assets.nasa.gov/image/KSC-2011-2627/KSC-2011-2627~medium.jpg
,KSC-2011-2627,2011-03-30,Delta II,,,,
,KSC-2011-2627,2011-03-30,science,,,,
,KSC-2011-2627,2011-03-30,research,,,,
,KSC-2011-2627,2011-03-30,climate change,,,,
,KSC-2011-2627,2011-03-30,Earth mission,,,,
49,KSC-2011-2634,2011-03-30,ELV,image,"VANDENBERG AIR FORCE BASE, Calif. -- The Aquarius/SAC-D spacecraft is transported to the Spaceport Systems International payload processing facility at Vandenberg Air Force Base in California.  Earlier, a U.S. Air Force C-17 transport plane delivered the spacecraft from Campos, Brazil. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.          Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: VAFB/30th Space Wing",KSC-2011-2634,https://images-assets.nasa.gov/image/KSC-2011-2634/KSC-2011-2634~medium.jpg
,KSC-2011-2634,2011-03-30,Delta II,,,,
,KSC-2011-2634,2011-03-30,science,,,,
,KSC-2011-2634,2011-03-30,research,,,,
,KSC-2011-2634,2011-03-30,climate change,,,,
,KSC-2011-2634,2011-03-30,Earth mission,,,,
50,KSC-2011-2628,2011-03-30,ELV,image,"VANDENBERG AIR FORCE BASE, Calif. -- The Aquarius/SAC-D spacecraft is offloaded from a U.S. Air Force C-17 transport at Vandenberg Air Force Base in California. The aircraft traveled from Campos, Brazil. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.        Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: VAFB/30th Space Wing",KSC-2011-2628,https://images-assets.nasa.gov/image/KSC-2011-2628/KSC-2011-2628~medium.jpg
,KSC-2011-2628,2011-03-30,Delta II,,,,
,KSC-2011-2628,2011-03-30,science,,,,
,KSC-2011-2628,2011-03-30,research,,,,
,KSC-2011-2628,2011-03-30,climate change,,,,
,KSC-2011-2628,2011-03-30,Earth mission,,,,
51,KSC-2011-2636,2011-03-30,ELV,image,"VANDENBERG AIR FORCE BASE, Calif. -- The Aquarius/SAC-D spacecraft enters the Spaceport Systems International payload processing facility at Vandenberg Air Force Base in California.  Earlier, a U.S. Air Force C-17 transport plane delivered the spacecraft from Campos, Brazil. Following final tests, the spacecraft will be integrated to a United Launch Alliance Delta II rocket in preparation for the targeted June launch to low Earth orbit.      Aquarius, the NASA-built primary instrument on the SAC-D spacecraft, will map global changes in salinity at the ocean's surface. Salinity is a key measurement for understanding how changes in rainfall, evaporation and the melting of freezing of ice influence ocean circulation and are linked to variations in Earth's climate. The three-year mission will provide new insights into how variations in ocean surface salinity relate to these fundamental climate processes. Photo credit: VAFB/30th Space Wing",KSC-2011-2636,https://images-assets.nasa.gov/image/KSC-2011-2636/KSC-2011-2636~medium.jpg
,KSC-2011-2636,2011-03-30,Delta II,,,,
,KSC-2011-2636,2011-03-30,science,,,,
,KSC-2011-2636,2011-03-30,research,,,,
,KSC-2011-2636,2011-03-30,climate change,,,,
,KSC-2011-2636,2011-03-30,Earth mission,,,,
